source, target, gene_source,gene_target,taxon,score,neighborhood, fusion, phylogen_profile, co_expression,expt, db_score, text_mining,source_essential,target_essential,edge_type
373153.SPD_0001,373153.SPD_0002,dnaA,dnaN,373153,0.974,0.674,0,0.468,0.205,0.312,0,0.776,n,n,N-N
373153.SPD_0001,373153.SPD_2030,dnaA,dnaB,373153,0.9,0.084,0,0.374,0.114,0.319,0,0.757,n,y,N-E
373153.SPD_0001,373153.SPD_0038,dnaA,polA,373153,0.867,0.042,0,0.52,0.096,0,0,0.718,n,n,N-N
373153.SPD_0001,373153.SPD_2069,dnaA,SPD_2069,373153,0.858,0.378,0,0.406,0.072,0,0,0.636,n,n,N-N
373153.SPD_0001,373153.SPD_2054,dnaA,recF,373153,0.848,0.378,0,0.188,0.163,0.117,0,0.657,n,n,N-N
373153.SPD_0001,373153.SPD_1096,dnaA,uvrB,373153,0.825,0,0,0.208,0.603,0,0,0.49,n,n,N-N
373153.SPD_0001,373153.SPD_0957,dnaA,dnaG,373153,0.816,0.063,0,0.518,0.118,0,0,0.594,n,y,N-E
373153.SPD_0001,373153.SPD_1521,dnaA,dnaI,373153,0.816,0,0,0,0.066,0.214,0,0.77,n,y,N-E
373153.SPD_0001,373153.SPD_0788,dnaA,dnaE,373153,0.811,0.081,0,0.493,0,0.112,0,0.598,n,y,N-E
373153.SPD_0001,373153.SPD_1405,dnaA,SPD_1405,373153,0.788,0.057,0,0,0,0.117,0,0.766,n,y,N-E
373153.SPD_0001,373153.SPD_0709,dnaA,gyrB,373153,0.785,0.378,0,0,0.077,0,0,0.656,n,y,N-E
373153.SPD_0001,373153.SPD_1077,dnaA,gyrA,373153,0.776,0.378,0,0,0,0,0,0.655,n,n,N-N
373153.SPD_0001,373153.SPD_0774,dnaA,SPD_0774,373153,0.776,0.048,0,0.436,0.072,0.109,0,0.575,n,n,N-N
373153.SPD_0001,373153.SPD_1739,dnaA,recA,373153,0.752,0.096,0,0.22,0,0.101,0,0.656,n,n,N-N
373153.SPD_0001,373153.SPD_0760,dnaA,dnaX,373153,0.75,0.079,0,0.251,0.078,0,0,0.654,n,y,N-E
373153.SPD_0001,373153.SPD_1485,dnaA,recR,373153,0.748,0.079,0,0.283,0.191,0,0,0.585,n,n,N-N
373153.SPD_0001,373153.SPD_1758,dnaA,rpoC,373153,0.743,0,0,0.309,0.068,0,0,0.633,n,y,N-E
373153.SPD_0001,373153.SPD_0847,dnaA,infC,373153,0.738,0,0,0.266,0,0,0,0.658,n,n,N-N
373153.SPD_0001,373153.SPD_0006,dnaA,mfd,373153,0.733,0.282,0,0.381,0.068,0,0,0.433,n,n,N-N
373153.SPD_0001,373153.SPD_0129,dnaA,gidA,373153,0.732,0.18,0,0,0.154,0,0,0.645,n,n,N-N
373153.SPD_0001,373153.SPD_0002,dnaA,dnaN,373153,0.974,0.674,0,0.468,0.205,0.312,0,0.776,n,n,N-N
373153.SPD_0001,373153.SPD_2030,dnaA,dnaB,373153,0.9,0.084,0,0.374,0.114,0.319,0,0.757,n,y,N-E
373153.SPD_0001,373153.SPD_0038,dnaA,polA,373153,0.867,0.042,0,0.52,0.096,0,0,0.718,n,n,N-N
373153.SPD_0001,373153.SPD_2069,dnaA,SPD_2069,373153,0.858,0.378,0,0.406,0.072,0,0,0.636,n,n,N-N
373153.SPD_0001,373153.SPD_2054,dnaA,recF,373153,0.848,0.378,0,0.188,0.163,0.117,0,0.657,n,n,N-N
373153.SPD_0001,373153.SPD_1096,dnaA,uvrB,373153,0.825,0,0,0.208,0.603,0,0,0.49,n,n,N-N
373153.SPD_0001,373153.SPD_0957,dnaA,dnaG,373153,0.816,0.063,0,0.518,0.118,0,0,0.594,n,y,N-E
373153.SPD_0001,373153.SPD_1521,dnaA,dnaI,373153,0.816,0,0,0,0.066,0.214,0,0.77,n,y,N-E
373153.SPD_0001,373153.SPD_0788,dnaA,dnaE,373153,0.811,0.081,0,0.493,0,0.112,0,0.598,n,y,N-E
373153.SPD_0001,373153.SPD_1405,dnaA,SPD_1405,373153,0.788,0.057,0,0,0,0.117,0,0.766,n,y,N-E
373153.SPD_0001,373153.SPD_0709,dnaA,gyrB,373153,0.785,0.378,0,0,0.077,0,0,0.656,n,y,N-E
373153.SPD_0001,373153.SPD_1077,dnaA,gyrA,373153,0.776,0.378,0,0,0,0,0,0.655,n,n,N-N
373153.SPD_0001,373153.SPD_0774,dnaA,SPD_0774,373153,0.776,0.048,0,0.436,0.072,0.109,0,0.575,n,n,N-N
373153.SPD_0001,373153.SPD_1739,dnaA,recA,373153,0.752,0.096,0,0.22,0,0.101,0,0.656,n,n,N-N
373153.SPD_0001,373153.SPD_0760,dnaA,dnaX,373153,0.75,0.079,0,0.251,0.078,0,0,0.654,n,y,N-E
373153.SPD_0001,373153.SPD_1485,dnaA,recR,373153,0.748,0.079,0,0.283,0.191,0,0,0.585,n,n,N-N
373153.SPD_0001,373153.SPD_1758,dnaA,rpoC,373153,0.743,0,0,0.309,0.068,0,0,0.633,n,y,N-E
373153.SPD_0001,373153.SPD_0847,dnaA,infC,373153,0.738,0,0,0.266,0,0,0,0.658,n,n,N-N
373153.SPD_0001,373153.SPD_0006,dnaA,mfd,373153,0.733,0.282,0,0.381,0.068,0,0,0.433,n,n,N-N
373153.SPD_0001,373153.SPD_0129,dnaA,gidA,373153,0.732,0.18,0,0,0.154,0,0,0.645,n,n,N-N
373153.SPD_0002,373153.SPD_0705,dnaN,dinG,373153,0.999,0.051,0,0.246,0.097,0.149,0.997,0.634,n,n,N-N
373153.SPD_0002,373153.SPD_0826,dnaN,holB,373153,0.999,0.108,0,0.17,0.635,0.322,0.998,0.639,n,y,N-E
