SPD_1586 	 SPD_1582
SPD_1719 	 nadK
SPD_1706 	 recX
SPD_1706 	 cysS
SPD_1786 	 SPD_1785
prtA 	 SPD_0729
prtA 	 SPD_2068
SPD_1560 	 SPD_1561
SPD_1560 	 SPD_1559
SPD_1560 	 aroK
SPD_1560 	 SPD_1556
rnhC 	 recD2
rnhC 	 SPD_0370
rnhC 	 lepB
SPD_1951 	 SPD_1948
SPD_0552 	 SPD_0302
SPD_1275 	 nagA
SPD_1275 	 guaA
SPD_1275 	 nagB
SPD_0619 	 SPD_1034
SPD_0619 	 SPD_1433
SPD_0619 	 SPD_0378
SPD_0619 	 spxB
SPD_0619 	 SPD_2068
pepC 	 pepN
SPD_0107 	 SPD_1017
SPD_0107 	 SPD_0109
SPD_0107 	 SPD_0846
SPD_0107 	 SPD_0108
galR 	 malR
galR 	 galK
galR 	 galT-2
SPD_1213 	 SPD_1214
SPD_1213 	 SPD_0093
SPD_1213 	 SPD_0031
SPD_1213 	 SPD_0692
SPD_1510 	 acpS
SPD_1510 	 SPD_1511
SPD_1510 	 aroB
SPD_1510 	 alr
SPD_1616 	 SPD_1617
SPD_1616 	 SPD_1615
SPD_1498 	 SPD_1500
SPD_1498 	 SPD_1501
SPD_1498 	 SPD_1502
SPD_1498 	 nanB
SPD_1033 	 SPD_1657
SPD_1033 	 SPD_1034
ogt 	 mutY
ogt 	 tag
spr1398 	 spr0499
spr1398 	 asnS
spr1398 	 spr0503
SPD_0302 	 SPD_0552
SPD_0729 	 prtA
SPD_0975 	 celA
SPD_0975 	 hexB
SPD_0975 	 SPD_1122
SPD_0975 	 pcrA
SPD_0975 	 cinA
SPD_0576 	 hemK
SPD_0576 	 zmpB
SPD_0920 	 SPD_0919
nrdG 	 guaA
nrdG 	 nrdD
nrdG 	 Acetyltransferase
nrdG 	 SPD_0191
SPD_0064 	 SPD_0067
SPD_0064 	 SPD_0880
SPD_0064 	 SPD_1416
ylmG 	 ylmH
ylmG 	 divIVA
ylmG 	 ftsZ
ylmG 	 ylmF
ylmG 	 ylmE
ylmG 	 ftsA
dexB 	 malR
dexB 	 malQ
dexB 	 SPD_1664
dexB 	 Pullulanase
dexB 	 exp5
dexB 	 SPD_0887
Endonuclease 	 SPD_1080
Endonuclease 	 SPD_0880
SPD_2014 	 SPD_1587
SPD_2014 	 iga
SPD_2014 	 glpO
SPD_0926 	 groL
SPD_0926 	 stkP
SPD_0926 	 SPD_1179
SPD_1365 	 SPD_1364
SPD_1365 	 ppaC
SPD_1365 	 SPD_1367
gatB 	 gltX
gatB 	 aspS
gatB 	 asnS
gatB 	 gatA
SPD_1113 	 SPD_1027
SPD_1113 	 pyk
SPD_1113 	 spxB
SPD_1113 	 ilvC
SPD_1113 	 ldh
SPD_1113 	 acoA
SPD_1113 	 ilvD
SPD_1113 	 ilvA
SPD_1113 	 pfl
SPD_1113 	 pflB
SPD_1113 	 leuB
SPD_1321 	 SPD_1987
