qseqid,sseqid,slen,qlen,length,s_cov,scov_filt,qcov,qcov_filt,pident,p_ident_cutoff,evalue,score,qstart,qend,sstart,send,gaps,positive
373153.SPD_0001,DEG10210001,450,453,452,1.004444444,yes,0.997792494,yes,73.23,no,0,1754,2,453,3,450,4,384
373153.SPD_0002,DEG10210002,378,378,378,1,yes,1,yes,83.598,no,0,1675,1,378,1,378,0,354
373153.SPD_0003,DEG10070112,64,64,64,1,yes,1,yes,100,yes,3.02E-44,340,1,64,1,64,0,64
373153.SPD_0004,DEG10070001,371,371,371,1,yes,1,yes,99.73,yes,0,1918,1,371,1,371,0,371
373153.SPD_0005,DEG10070002,189,189,189,1,yes,1,yes,98.942,yes,2.16E-137,977,1,189,1,189,0,188
373153.SPD_0006,DEG10050452,1146,1169,1096,0.956369983,yes,0.937553464,no,37.044,no,0,1717,29,1104,19,1096,38,631
373153.SPD_0007,DEG10580003,90,88,87,0.966666667,yes,0.988636364,yes,90.805,no,1.35E-50,386,1,87,1,87,0,83
373153.SPD_0008,DEG10210004,122,122,120,0.983606557,yes,0.983606557,yes,69.167,no,6.05E-45,356,1,120,1,120,0,100
373153.SPD_0010,DEG10540083,389,422,70,0.179948586,no,0.165876777,no,28.571,no,1,68,181,249,232,298,4,38
373153.SPD_0011,DEG10210005,425,425,424,0.997647059,yes,0.997647059,yes,54.717,no,1.61E-160,1179,1,424,1,424,0,309
373153.SPD_0012,DEG10070003,180,180,180,1,yes,1,yes,100,yes,7.53E-133,945,1,180,1,180,0,180
373153.SPD_0013,DEG10580006,657,652,651,0.99086758,yes,0.998466258,yes,79.109,no,0,2637,5,649,6,654,8,571
373153.SPD_0024,DEG10580263,430,428,428,0.995348837,yes,1,yes,90.421,no,0,2063,1,428,1,428,0,412
373153.SPD_0025,DEG10580275,173,155,154,0.89017341,no,0.993548387,yes,79.87,no,2.14E-90,663,1,154,1,154,0,137
373153.SPD_0027,DEG10580274,147,147,146,0.993197279,yes,0.993197279,yes,85.616,no,6.57E-90,656,1,146,1,146,0,131
373153.SPD_0028,DEG10380168,231,185,78,0.337662338,no,0.421621622,no,28.205,no,0.15,70,15,88,2,73,10,39
373153.SPD_0029,DEG10550151,460,420,417,0.906521739,no,0.992857143,yes,47.242,no,1.39E-132,997,2,415,36,451,4,284
373153.SPD_0030,DEG10580273,164,165,163,0.993902439,yes,0.987878788,yes,80.368,no,3.07E-95,695,1,163,1,163,0,145
373153.SPD_0031,DEG10510188,403,219,60,0.148883375,no,0.273972603,no,28.333,no,0.2,71,108,167,192,251,0,31
373153.SPD_0033,DEG10210006,321,322,321,1,yes,0.99689441,yes,93.769,no,0,1546,1,321,1,321,0,314
373153.SPD_0035,DEG10140069,494,77,35,0.070850202,no,0.454545455,no,34.286,no,3.3,54,15,49,376,410,0,20
373153.SPD_0038,DEG10580173,878,877,879,1.001138952,yes,1.002280502,yes,75.882,no,0,3554,1,877,1,878,3,759
373153.SPD_0039,DEG10180158,137,145,129,0.941605839,no,0.889655172,no,41.86,no,2.58E-29,257,13,141,6,133,1,82
373153.SPD_0041,DEG10470435,396,389,383,0.967171717,yes,0.984575835,yes,39.164,no,1.39E-97,756,7,386,6,383,8,240
373153.SPD_0042,DEG10580011,260,256,251,0.965384615,yes,0.98046875,yes,69.721,no,8.87E-135,974,2,252,1,251,0,213
373153.SPD_0043,DEG10420010,330,330,330,1,yes,1,yes,76.97,no,0,1357,1,330,1,330,0,290
373153.SPD_0044,DEG10650004,77,77,72,0.935064935,no,0.935064935,no,51.389,no,1.61E-15,154,5,75,2,73,1,47
373153.SPD_0046,DEG10340132,370,76,47,0.127027027,no,0.618421053,no,29.787,no,0.28,61,15,60,216,262,1,20
373153.SPD_0049,DEG10560201,706,717,668,0.946175637,no,0.931659693,no,30.838,no,3.81E-86,730,58,714,50,701,27,357
373153.SPD_0050,DEG10230298,831,449,47,0.056558363,no,0.10467706,no,27.66,no,0.66,71,55,101,667,711,2,29
373153.SPD_0051,DEG10020089,234,235,232,0.991452991,yes,0.987234043,yes,53.017,no,5.42E-84,635,5,235,3,234,1,163
373153.SPD_0052,DEG10130320,1278,1241,1149,0.899061033,no,0.925866237,no,25.413,no,4.35E-55,533,186,1213,171,1246,194,462
373153.SPD_0053,DEG10070113,480,480,480,1,yes,1,yes,100,yes,0,2572,1,480,1,480,0,480
373153.SPD_0054,DEG10470027,346,340,331,0.956647399,yes,0.973529412,yes,59.215,no,8.95E-126,933,5,332,3,331,5,250
373153.SPD_0055,DEG10070114,181,181,181,1,yes,1,yes,100,yes,2.71E-134,955,1,181,1,181,0,181
373153.SPD_0056,DEG10680109,872,169,92,0.105504587,no,0.544378698,no,30.435,no,1.2,63,54,143,149,229,13,42
373153.SPD_0057,DEG10130291,524,515,527,1.005725191,yes,1.023300971,yes,52.372,no,0,1345,3,515,4,524,20,361
373153.SPD_0058,DEG10550669,424,420,434,1.023584906,yes,1.033333333,yes,47.235,no,4.91E-128,963,1,420,1,422,26,280
373153.SPD_0059,DEG10510535,163,162,150,0.920245399,no,0.925925926,no,63.333,no,1.62E-66,506,1,150,1,150,0,118
373153.SPD_0060,DEG10350046,398,363,365,0.917085427,no,1.005509642,yes,39.178,no,3.32E-75,604,7,352,17,380,20,207
373153.SPD_0061,DEG10480120,262,75,33,0.125954198,no,0.44,no,36.364,no,0.81,58,29,61,42,74,0,20
373153.SPD_0062,DEG10580012,430,432,430,1,yes,0.99537037,yes,90.233,no,0,2105,1,430,1,430,0,410
373153.SPD_0063,DEG10340263,525,1312,262,0.499047619,no,0.199695122,no,21.756,no,6.10E-08,134,188,442,155,384,39,108
373153.SPD_0063,DEG10340263,525,1312,136,0.259047619,no,0.103658537,no,22.059,no,7.14E-04,100,633,767,155,262,29,58
373153.SPD_0064,DEG10561088,248,247,143,0.576612903,no,0.578947368,no,27.972,no,3.86E-09,131,8,130,6,148,20,69
373153.SPD_0065,DEG10660066,484,595,59,0.121900826,no,0.099159664,no,37.288,no,0.006,89,230,284,188,243,7,31
373153.SPD_0066,DEG10560296,164,158,149,0.908536585,no,0.943037975,no,36.913,no,2.27E-34,294,1,149,1,149,0,93
373153.SPD_0067,DEG10580231,269,301,150,0.557620818,no,0.49833887,no,26.667,no,9.84E-07,114,30,176,32,181,3,71
373153.SPD_0068,DEG10580232,303,271,211,0.696369637,no,0.778597786,no,32.227,no,5.56E-31,290,3,208,2,210,7,114
373153.SPD_0069,DEG10280041,135,134,97,0.718518519,no,0.723880597,no,36.082,no,2.43E-15,162,5,98,4,99,4,55
373153.SPD_0070,DEG10290391,609,388,303,0.497536946,no,0.780927835,no,24.752,no,3.92E-06,113,19,295,255,529,54,138
373153.SPD_0071,DEG10230215,377,345,344,0.912466844,no,0.997101449,yes,28.779,no,8.17E-36,334,12,344,38,374,18,150
373153.SPD_0072,DEG10280477,195,284,50,0.256410256,no,0.176056338,no,38,no,0.22,71,78,127,95,142,2,25
373153.SPD_0076,DEG10380036,463,459,457,0.987041037,yes,0.995642702,yes,43.107,no,1.27E-109,849,14,459,11,463,15,288
373153.SPD_0077,DEG10580227,221,221,214,0.968325792,yes,0.968325792,yes,56.542,no,2.98E-85,641,1,214,1,214,0,155
373153.SPD_0080,DEG10070130,1767,1161,48,0.027164686,no,0.041343669,no,37.5,no,1.6,72,7,54,7,50,4,27
